"Meat consumption"
"Beef and veal, Kilograms/capita - retail weight, 2023"
"Category","Beef and veal"
"Argentina",30.81
"Israel",25.8
"United States",25.18
"Kazakhstan",20.8
"Chile",19.85
"Brazil",18.05
"Canada",17.04
"Australia",15.6
"OECD",13.82
"Paraguay",13.24
"Switzerland",13.22
"Norway",13
"Korea",12.07
"Türkiye",11.39
"South Africa",11.09
"United Kingdom",10.39
"European Union",9.78
"New Zealand",8.95
"Colombia",8.31
"Russia",8.21
"Mexico",8.16
"Pakistan",6.76
"Japan",6.76
"Egypt",6.08
"Malaysia",5.44
"Viet Nam",5.42
"Iran",4.84
"China",4.82
"Ukraine",4.37
"Saudi Arabia",4.11
"Peru",3.93
"Philippines",2.33
"Ethiopia",1.91
"Indonesia",1.67
"Thailand",1.19
"Nigeria",0.88
"India",0.4
